LB,AC,FM,UC,DL,DS,DP,NSP
147,0.008988992,0.006456892,0.008988992,0.006456892,0.006489656,0.003906892,89
148,0.003856892,0.006456892,0.003856892,0.008988992,0.026456892,0.003956892,78
120,0.003956892,0.006456892,0.003956892,0.003856892,0.001586892,0.004056892,45
148,0.004056892,0.006456892,0.004056892,0.003956892,0.006456892,0.004056892,86
147,0.003956892,0.003956892,0.004056892,0.004056892,0.003956892,0.004056892,23
145,0.003409892,0.004056892,0.003956892,0.003956892,0.004056892,0.003956892,48
147,0.002729892,0.003956892,0.003409892,0.003409892,0.003956892,0.003409892,19
130,0.002256892,0.004956892,0.002729892,0.006456892,0.004956892,0.002729892,17
134,0.002156892,0.004906892,0.002256892,0.006456892,0.003956892,0.003409892,13
120,0.003956892,0.003906892,0.002156892,0.006456892,0.004956892,0.002729892,56
148,0.003956892,0.003956892,0.003956892,0.006456892,0.004906892,0.002256892,85
147,0.006756892,0.004056892,0.003956892,0.006456892,0.003906892,0.002156892,95
145,0.006556892,0.003956892,0.006756892,0.008988992,0.003956892,0.003956892,48
147,0.005695689,0.006456892,0.006556892,0.003856892,0.004056892,0.003956892,68
110,0.006566892,0.008988992,0.005695689,0.003956892,0.003956892,0.006756892,62
129,0.004586892,0.003856892,0.006566892,0.004056892,0.006456892,0.006556892,42
120,0.004895689,0.003956892,0.004586892,0.003956892,0.008988992,0.005695689,28
147,0.006489656,0.004056892,0.004895689,0.003409892,0.003856892,0.006566892,26
130,0.026456892,0.003956892,0.006489656,0.006456892,0.003956892,0.004586892,49
134,0.001586892,0.003409892,0.026456892,0.006456892,0.004056892,0.004895689,78
120,0.004566892,0.002729892,0.001586892,0.006456892,0.003956892,0.006489656,45
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.002256892,0.006456892,0.002256892,0.006456892,0.006456892,0.006456892,87
147,0.002156892,0.006456892,0.002156892,0.006456892,0.006456892,0.006456892,87
110,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
129,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
120,0.006756892,0.006456892,0.006756892,0.006456892,0.006456892,0.006456892,87
147,0.006556892,0.006456892,0.006556892,0.006456892,0.006456892,0.006456892,87
130,0.005695689,0.006456892,0.005695689,0.006456892,0.006456892,0.006456892,87
134,0.006566892,0.006456892,0.006566892,0.006456892,0.006456892,0.006456892,87
120,0.004586892,0.006456892,0.004586892,0.006456892,0.006456892,0.006456892,87
147,0.006429099,0.006456892,0.006429099,0.006456892,0.006456892,0.006456892,87
130,0.0028992,0.006456892,0.0028992,0.006456892,0.006456892,0.006456892,87
134,0.005676892,0.006456892,0.005676892,0.006456892,0.006456892,0.006456892,87
120,0.006378889,0.006456892,0.006378889,0.006456892,0.006456892,0.006456892,87
148,0.002090892,0.006456892,0.002090892,0.006456892,0.006456892,0.006456892,87
145,0.004896892,0.006456892,0.004896892,0.006456892,0.006456892,0.006456892,87
147,0.004796892,0.006456892,0.004796892,0.006456892,0.006456892,0.006456892,87
145,0.007896892,0.006456892,0.007896892,0.006456892,0.006456892,0.006456892,87
147,0.006778689,0.006456892,0.006778689,0.006456892,0.006456892,0.006456892,87
110,0.003490892,0.006456892,0.003490892,0.006456892,0.006456892,0.006456892,87
129,0.002256892,0.006456892,0.002256892,0.006456892,0.006456892,0.006456892,87
120,0.038456892,0.006456892,0.038456892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,87
134,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,87
120,0.002156892,0.004906892,0.002256892,0.006456892,0.003956892,0.003409892,87
147,0.003956892,0.003906892,0.002156892,0.006456892,0.004956892,0.002729892,87
130,0.003956892,0.003956892,0.003956892,0.006456892,0.004906892,0.002256892,87
147,0.006756892,0.004056892,0.003956892,0.006456892,0.003906892,0.002156892,87
145,0.006556892,0.003956892,0.006756892,0.008988992,0.003956892,0.003956892,87
147,0.005695689,0.006456892,0.006556892,0.003856892,0.004056892,0.003956892,87
110,0.006566892,0.008988992,0.005695689,0.003956892,0.003956892,0.006756892,87
129,0.004586892,0.003856892,0.006566892,0.004056892,0.006456892,0.006556892,87
120,0.004895689,0.003956892,0.004586892,0.003956892,0.008988992,0.005695689,87
147,0.006489656,0.004056892,0.004895689,0.003409892,0.003856892,0.006566892,87
130,0.026456892,0.003956892,0.006489656,0.006456892,0.003956892,0.004586892,87
134,0.001586892,0.003409892,0.026456892,0.006456892,0.004056892,0.004895689,87
120,0.004566892,0.002729892,0.001586892,0.006456892,0.003956892,0.006489656,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.002256892,0.006456892,0.002256892,0.006456892,0.006456892,0.006456892,87
134,0.002156892,0.006456892,0.002156892,0.006456892,0.006456892,0.006456892,87
120,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
148,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
148,0.006756892,0.006456892,0.006756892,0.006456892,0.006456892,0.006456892,87
148,0.006556892,0.006456892,0.006556892,0.006456892,0.006456892,0.006456892,87
148,0.005695689,0.006456892,0.005695689,0.006456892,0.006456892,0.006456892,87
148,0.006566892,0.006456892,0.006566892,0.006456892,0.006456892,0.006456892,87
148,0.004586892,0.006456892,0.004586892,0.006456892,0.006456892,0.006456892,87
148,0.006429099,0.006456892,0.006429099,0.006456892,0.006456892,0.006456892,87
148,0.0028992,0.006456892,0.0028992,0.006456892,0.006456892,0.006456892,87
148,0.003856892,0.006456892,0.006456892,0.006456892,0.004896892,0.038456892,87
148,0.003956892,0.006456892,0.006456892,0.006456892,0.004796892,0.006456892,87
148,0.004056892,0.006456892,0.006456892,0.006456892,0.007896892,0.006456892,87
130,0.006456892,0.006456892,0.004586892,0.006456892,0.004586892,0.006456892,87
160,0.006456892,0.008988992,0.006429099,0.006456892,0.006429099,0.006456892,87
147,0.006456892,0.003856892,0.0028992,0.006456892,0.0028992,0.006456892,87
148,0.006456892,0.003956892,0.005676892,0.006456892,0.005676892,0.006456892,87
189,0.006456892,0.004056892,0.006378889,0.006456892,0.006378889,0.008988992,87
148,0.006456892,0.003956892,0.002090892,0.006456892,0.002090892,0.003856892,87
147,0.006456892,0.003409892,0.004896892,0.006456892,0.004896892,0.003956892,87
145,0.006456892,0.006456892,0.004796892,0.006456892,0.004796892,0.004056892,87
147,0.006456892,0.006456892,0.007896892,0.006456892,0.007896892,0.003956892,87
148,0.004056892,0.006456892,0.004566892,0.003409892,0.006456892,0.003409892,87
149,0.003956892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
180,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.008988992,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.003856892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.003956892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.004056892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.003956892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.003409892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.002729892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.002256892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.002156892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.003956892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.003956892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006756892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.005695689,0.006456892,0.006556892,0.003856892,0.004056892,0.003956892,87
134,0.006566892,0.008988992,0.005695689,0.003956892,0.003956892,0.006756892,87
120,0.004586892,0.003856892,0.006566892,0.004056892,0.006456892,0.006556892,87
148,0.004895689,0.003956892,0.004586892,0.003956892,0.008988992,0.005695689,87
147,0.006489656,0.004056892,0.004895689,0.003409892,0.003856892,0.006566892,87
145,0.026456892,0.003956892,0.006489656,0.006456892,0.003956892,0.004586892,87
147,0.001586892,0.003409892,0.026456892,0.006456892,0.004056892,0.004895689,87
110,0.004566892,0.002729892,0.001586892,0.006456892,0.003956892,0.006489656,87
129,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.002256892,0.006456892,0.002256892,0.006456892,0.006456892,0.006456892,87
147,0.002156892,0.006456892,0.002156892,0.006456892,0.006456892,0.006456892,87
130,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
134,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
120,0.006756892,0.006456892,0.006756892,0.006456892,0.006456892,0.006456892,87
148,0.006756892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006556892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.005695689,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
110,0.006566892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
129,0.004586892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006429099,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.0028992,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
134,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
134,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006489656,0.004056892,0.004895689,0.003409892,0.003856892,0.006566892,87
147,0.026456892,0.003956892,0.006489656,0.006456892,0.003956892,0.004586892,87
110,0.001586892,0.003409892,0.026456892,0.006456892,0.004056892,0.004895689,87
129,0.004566892,0.002729892,0.001586892,0.006456892,0.003956892,0.006489656,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.002256892,0.006456892,0.002256892,0.006456892,0.006456892,0.006456892,87
130,0.002156892,0.006456892,0.002156892,0.006456892,0.006456892,0.006456892,87
134,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
120,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
147,0.006756892,0.006456892,0.006756892,0.006456892,0.006456892,0.006456892,87
130,0.006756892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006556892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.005695689,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006566892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
110,0.004586892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
129,0.006429099,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.0028992,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
160,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
189,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
149,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
180,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
134,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006489656,0.004056892,0.004895689,0.003409892,0.003856892,0.006566892,87
134,0.026456892,0.003956892,0.006489656,0.006456892,0.003956892,0.004586892,87
120,0.001586892,0.003409892,0.026456892,0.006456892,0.004056892,0.004895689,87
147,0.004566892,0.002729892,0.001586892,0.006456892,0.003956892,0.006489656,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.002256892,0.006456892,0.002256892,0.006456892,0.006456892,0.006456892,87
145,0.002156892,0.006456892,0.002156892,0.006456892,0.006456892,0.006456892,87
147,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
110,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
129,0.006756892,0.006456892,0.006756892,0.006456892,0.006456892,0.006456892,87
130,0.006756892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
160,0.006556892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.005695689,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006566892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
189,0.004586892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006429099,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.0028992,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
149,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
180,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
134,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
132,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
160,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
189,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
149,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
180,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
129,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
122,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
110,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
189,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.004796892,0.006456892,0.004796892,0.006456892,0.006456892,0.006456892,87
148,0.007896892,0.006456892,0.007896892,0.006456892,0.006456892,0.006456892,87
147,0.006778689,0.006456892,0.006778689,0.006456892,0.006456892,0.006456892,87
145,0.003490892,0.006456892,0.003490892,0.006456892,0.006456892,0.006456892,87
147,0.002256892,0.006456892,0.002256892,0.006456892,0.006456892,0.006456892,87
148,0.038456892,0.006456892,0.038456892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,0.006456892,87
145,0.002156892,0.004906892,0.002256892,0.006456892,0.003956892,0.003409892,87
147,0.003956892,0.003906892,0.002156892,0.006456892,0.004956892,0.002729892,87
130,0.003956892,0.003956892,0.003956892,0.006456892,0.004906892,0.002256892,87
134,0.006756892,0.004056892,0.003956892,0.006456892,0.003906892,0.002156892,87
120,0.006556892,0.003956892,0.006756892,0.008988992,0.003956892,0.003956892,87
148,0.005695689,0.006456892,0.006556892,0.003856892,0.004056892,0.003956892,87
147,0.006566892,0.008988992,0.005695689,0.003956892,0.003956892,0.006756892,87
145,0.004586892,0.003856892,0.006566892,0.004056892,0.006456892,0.006556892,87
147,0.004895689,0.003956892,0.004586892,0.003956892,0.008988992,0.005695689,87
110,0.006489656,0.004056892,0.004895689,0.003409892,0.003856892,0.006566892,87
129,0.026456892,0.003956892,0.006489656,0.006456892,0.003956892,0.004586892,87
120,0.001586892,0.003409892,0.026456892,0.006456892,0.004056892,0.004895689,87
147,0.004566892,0.002729892,0.001586892,0.006456892,0.003956892,0.006489656,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
134,0.002256892,0.006456892,0.002256892,0.006456892,0.006456892,0.006456892,87
120,0.002156892,0.006456892,0.002156892,0.006456892,0.006456892,0.006456892,87
148,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
145,0.003956892,0.006456892,0.003956892,0.006456892,0.006456892,0.006456892,87
147,0.006756892,0.006456892,0.006756892,0.006456892,0.006456892,0.006456892,87
110,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
129,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
134,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
134,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
148,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
110,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
129,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
134,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
145,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
110,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
129,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
130,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
134,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
120,0.006456892,0.006456892,0.004566892,0.006456892,0.006456892,0.006456892,87
147,0.005676892,0.003956892,0.006289892,0.002256892,0.004956892,0.005676892,87
130,0.006378889,0.004056892,0.006409892,0.002156892,0.004906892,0.006378889,87
134,0.002090892,0.003956892,0.006429892,0.003956892,0.003906892,0.002090892,87
120,0.004896892,0.006456892,0.006456892,0.003956892,0.003956892,0.004896892,87
148,0.004796892,0.008988992,0.006456892,0.006756892,0.003856892,0.004796892,87
148,0.007896892,0.003856892,0.006456892,0.006556892,0.003956892,0.007896892,87
148,0.006778689,0.003956892,0.006456892,0.005695689,0.004056892,0.006778689,87
148,0.003490892,0.004056892,0.006456892,0.006566892,0.003956892,0.003490892,87
148,0.002256892,0.003956892,0.003956892,0.004586892,0.004956892,0.002256892,87
148,0.038456892,0.003409892,0.004056892,0.006429099,0.006409892,0.006420992,87
148,0.002056892,0.002729892,0.003956892,0.0028992,0.006429892,0.006222892,87
148,0.009056892,0.002256892,0.004956892,0.005676892,0.003956892,0.006289892,87
148,0.007086892,0.002156892,0.004906892,0.006378889,0.004056892,0.006409892,87
148,0.003929099,0.003956892,0.003906892,0.002090892,0.003956892,0.006429892,87
148,0.008988992,0.003956892,0.003956892,0.004896892,0.006456892,0.006456892,87
130,0.003856892,0.006756892,0.003856892,0.004796892,0.008988992,0.006456892,87
160,0.003956892,0.006556892,0.003956892,0.007896892,0.003856892,0.006456892,87
147,0.004056892,0.005695689,0.004056892,0.006778689,0.003956892,0.006456892,87
148,0.003956892,0.006566892,0.003956892,0.003490892,0.004056892,0.006456892,87
189,0.004956892,0.004586892,0.004956892,0.002256892,0.003956892,0.003956892,87
